,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength,keep
0,0,0,0,0,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.4757236139187886,0.3741928954545467,0.3280261587119712,0.2417400891792119,0.301747205876323,0.1937797098792448,0.178582012997609,0.4541578763783803,0.1854670011085713,0.2448241654812994,1.0001026231399657,-0.001368555684496,-0.0014743005152074,429.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4810576777918522,0 days 02:36:32.165057,0.001368604389501,3.276627235745504,3.323854681488724,1.0
1,1,1,1,1,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.1692220351641034,0.0613927919153556,0.0357698215389385,0.027490980965199,1.0017717686917609,0.0275778956204054,0.6757107682224119,0.0279078167722169,0.6237435493483513,0.0276908483326146,0.0277130376148241,-0.0026628728514698,-0.0033315583109018,792.0,0.0,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.1672962445279146,0 days 02:36:32.165057,0.0026629408138539,3.2950524537954364,3.1039421827139217,1.0
2,2,2,2,2,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.2121550171362448,0.0307722646836788,0.0381240967726647,0.1006446745490729,1.0000063337431953,0.670268880744081,0.0320591424108983,0.0447305041607648,0.0840677359759297,0.5600535189306252,0.0392508469238012,-0.0022388343164113,-0.0028581053344429,850.0,0.0,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2107852961299231,0 days 02:36:32.165057,0.0022388502790965,3.898554106850271,3.5753264645288176,1.0
3,3,3,3,3,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.1729218065777004,0.2455559862288814,0.2265149101805849,0.985961578186022,0.1652636133592976,1.0004817626643991,0.1989604467884937,0.1655286858789332,0.1700786272504262,0.7853988743489881,-0.001492516647355,-0.0016526207645227,395.0,0.0,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4112810258274127,0 days 02:36:32.165057,0.0014926106735969,3.367967457705993,3.308311240715311,1.0
4,4,4,4,4,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.088694316560147,0.8097575743035073,0.0600018937818606,0.0076266038787184,0.0076491834429048,1.000369729773682,0.0108569300185785,0.1750104683966725,0.0092145795021074,0.0027198385371197,0.0051477834507987,-0.0032748415548679,-0.0041953744760133,1631.0,0.0,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,0.1479220357849565,0.819626719119277,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.0899631222024552,0 days 02:36:32.165057,0.0032749302488302,3.620907838003952,2.964210452233518,1.0
5,5,5,5,5,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.3444087275973819,0.4346339829487738,0.0697763107530413,0.0242894425181754,0.0221371183325888,0.0359801434829935,0.158942471207528,0.0044507619285997,1.000411280985383,0.0127880953390525,0.8468667737102192,-0.0017059033174599,-0.0020569929704,1887.0,0.0,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3484079863898073,0 days 02:36:32.165057,0.0017059589752332,3.126457937876673,3.437246175507169,1.0
6,6,6,6,6,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,0.1747772774464678,1.0008524506365246,0.9615962851637506,0.3147618534270255,0.1167785435416125,0.0291562454541645,0.047585605002864,0.2741955891513296,0.0700687185288597,0.0330139646086648,0.0302474110165885,-0.0027472456370912,-0.0038299130050729,815.0,0.0,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.1768037521848165,0 days 02:36:32.165057,0.0027473374738371,3.28428640498547,3.264125315123851,1.0
7,7,7,7,7,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,1.0002959248550445,0.6197760653625748,0.0518718211585003,0.0809130296685526,0.0609074705577785,0.2521512102952822,0.0636774021001621,0.9834995908488132,0.0444352415310043,0.0410946924005943,-0.0025292646691931,-0.0033381949221244,696.0,0.0,0.1505248304211774,0.4822123881993365,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2051100966660486,0 days 02:36:32.165057,0.0025292671573674,3.425176253750261,3.0509650045152976,1.0
8,8,8,8,8,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2453353407455388,0.070380389337546,0.9922650289980224,0.0698772880204098,0.9965201778031656,0.0810308409375487,1.0006868093091814,0.0704199751613277,0.3858135883665901,0.0696060834503151,-0.0020719464887945,-0.0025595050865513,581.0,0.0,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2669179901383056,0 days 02:36:32.165057,0.0020719525094726,3.6507039804768255,3.343527351291674,1.0
9,9,9,9,9,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,0.0382971391404627,1.395837667496099e-06,1.3493775599377031e-06,0.023709711499641,5.471820890117495e-06,0.1651227182297379,0.2756081339806573,0.1768366636870754,3.4850798484194283e-06,1.4874695650479755e-06,1.529522116374429e-06,-0.0052631240051841,-0.0070495570964044,7963.0,1.0,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,0.1059212367073244,0.6331599460365578,0.3804242698865323,0.7252939380762389,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.0382943664094911,0 days 02:36:32.165057,0.0052631239546665,4.684668104659529,4.344807765480333,1.0
10,10,10,10,10,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4909004592275635,0.3656289739898982,0.2295787424790045,0.1893106951860855,0.1971047086215275,0.1735704759002303,0.6878445796559245,0.1340212935020541,1.0013197645300749,0.2715486332849377,-0.001416233802223,-0.0016353778900375,495.0,0.0,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4018568843021927,0 days 02:36:32.165057,0.0014162448829778,3.16366125078683,3.307919972116915,1.0
11,11,11,11,11,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2983084903119985,0.2945322167796801,0.2361167611770475,0.881896276429798,0.4410447531232418,0.087049716416054,0.2507247287539746,0.0679880750674754,1.0006301912375763,0.0672474142906681,-0.0021448747602874,-0.0023160441010298,657.0,0.0,0.2568674672271027,0.0731900723909659,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2755518727172508,0 days 02:36:32.165057,0.0021448792349049,3.349967658896016,3.26662078572904,1.0
12,12,12,12,12,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.1225113576604118,0.0399315712492807,1.0013816421558204,0.9969640069928858,0.0384827647024214,0.7323282703365608,0.0147109583655315,0.0156239270014205,0.067673962347744,0.0193688808872637,0.0876605188003565,-0.0030007625090122,-0.0038965926736071,916.0,0.0,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,0.1097346640066967,0.2032415440873966,0.2838064889441311,0.3141338956023022,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.1209112251833595,0 days 02:36:32.165057,0.003000826098103,3.4216497498162752,3.113907724764211,1.0
13,13,13,13,13,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,1.0002001225477166,0.5418233384444998,0.1945853536344675,0.075167854185922,0.0767899555387472,0.0814944957063387,0.0784077670763777,0.3973604827489399,0.1110806083825558,0.500382616619078,-0.0018871873120697,-0.0020488306956561,591.0,0.0,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2906730053646793,0 days 02:36:32.165057,0.0018872158632285,2.8414241957035005,2.9768925320296,1.0
