,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,cohlength,ucohlength,ueta,keep
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.8722673923735866,0.0758084084581362,0.164467351652005,1.0018350854518192,0.082976761224059,0.0963793007116839,0.0899707835078285,0.0442510843865959,0.1312861404150063,0.0421479713121498,0.2283769633240081,0.3667353856518974,-0.0017580366603988,-0.0018780074688425,942.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2395392752015895,0 days 09:57:56.608079,3.987472925863689,3.899082486425996,0.0017580366603988,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,1.0004235870478042,0.0246289346886872,0.079558160337887,0.0628537846482778,0.1345897238758892,0.0364178336982815,0.0330064497047908,0.0656299994061825,0.017179492135388,0.0316056508713584,0.1812614342860918,0.0830163945328068,-0.0023981852511828,-0.0030438771976577,924.0,0.0,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.1395531112547111,0 days 09:57:56.608079,4.580229793056233,3.9312179573490895,0.0023981852511828,1.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0779441575040493,0.0819605000816037,0.0055561608210775,0.0057424916651111,0.0057100844975915,0.0219683702249738,1.001385763138236,0.0093978273076768,0.0136144982646282,0.1685948515547256,0.0092405726565429,0.0053761565641482,0.0057385805209266,-0.0033143666039503,-0.0046247780824653,1163.0,0.0,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.0778116144066121,0 days 09:57:56.608079,4.924890464397401,4.183551345263597,0.0033143666039503,1.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,1.0003735098877828,0.2023078737347817,0.1490115841673637,0.3377076295109808,0.0596804875662678,0.9899034713117628,0.0478058388902172,0.0468750112556044,0.987376827561658,0.0467006392602428,0.0465432086340628,0.0470460167446571,-0.0019879807269857,-0.0029105304376633,669.0,0.0,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2159412260705714,0 days 09:57:56.608079,3.8178313842249696,3.575650184785445,0.0019879807269857,1.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,1.0017518088435118,0.2088827999116622,0.1378321743520396,0.1385692422118382,0.1779009563551427,0.1378844772592134,0.1756742213769338,0.1884255765502133,0.1340272727428918,0.1345200029488725,0.1464900296194379,0.8086736962500188,-0.0013025411315801,-0.0014976181517924,439.0,0.0,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3678488961873924,0 days 09:57:56.608079,3.8040345807757214,3.876894609028111,0.0013025411315801,1.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.1662215034659264,0.2848917367368499,0.8171003628063201,0.7430297318254485,0.6234474947419502,0.1615619180633921,0.1613582849146092,0.860419311052288,1.0012057893471082,0.998159928317556,0.1622642241285434,0.166698847484103,-0.001288564427633,-0.0014723327279397,401.0,0.0,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,0.1505248304211774,0.4822123881993365,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4086078975819689,0 days 09:57:56.608079,4.316395160537311,3.914709739511204,0.001288564427633,1.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.1627420820022583,0.1727034714608241,0.1648160076337587,0.190535781535625,0.1604929147837486,1.0006626421643103,0.2133658581851439,0.4982550774739305,0.1668880153675476,0.1934757224542281,0.4339938642239282,0.6572379219749842,-0.0011839428933544,-0.0012880835423143,405.0,0.0,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.398482321355547,0 days 09:57:56.608079,3.998141965510564,3.910699958289836,0.0011839428933544,1.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1406922165749163,0.0033264533762572,0.65643204127234,0.350049614990258,0.0050190232319259,0.0082982042537841,1.0005677717979802,0.1284933818250165,0.0030960822712125,0.0020788638676881,0.061414680705627,0.004043966103861,-0.0024430869528429,-0.0032129030459863,2058.0,0.0,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.122896373717061,0 days 09:57:56.608079,3.751032673581943,3.7792202429437287,0.0024430869528429,1.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.9798866222009884,0.2840155652828864,0.2156829071180549,0.2889458308792525,0.1705686728936676,0.150406651648339,1.0008644955254542,0.1516318230004252,0.7375371839371513,0.191618994676449,0.163941690144922,0.7270482620488726,-0.0012572009720452,-0.0013443746369127,414.0,0.0,0.1059212367073244,0.6331599460365578,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3954508207585306,0 days 09:57:56.608079,3.602536261666011,3.62150333460224,0.0012572009720452,1.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,6.167424329629715e-05,1.1744199359912176e-05,0.0130893377430359,5.433395406941318e-06,5.143574997015226e-06,0.0821947392692988,1.1259524834020582e-05,3.353711382988718e-06,6.002451853851098e-06,0.2331109669709728,0.2496839196772616,0.4244979516304906,-0.0019456618762243,-0.0023359883991369,6421.0,1.0,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,100000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2060622628039524,0 days 09:57:56.608079,4.60700821961988,4.228706960515931,0.0019456618762243,1.0
