,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.5698813436308598,0.2582381224449595,1.0003391436377775,0.5934503247403402,0.4560044680184305,0.0020428048408449,0.4057365490589669,0.0010588197787038,-0.0006941686685775,-0.0007903794062942,3196.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4232828899484608,0 days 02:59:44.995636,0.0006942000595156,1.421120170822122,1.2990438581676238
1,1,1,1,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.0352260103689351,1.0000691900573715,0.1830192206313306,0.2397507148181352,0.0270902120306152,0.5744981858121825,0.0280956450470656,0.1342129566414126,-0.0009138913509394,-0.0010685176537786,1125.0,0.0,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3094292449326085,0 days 02:59:44.995636,0.0009139182793019,1.6810666219747006,1.40279225250444
2,2,2,2,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.4809266470977418,0.0014082956159877,0.5158843456311344,2.323961537919236e-06,0.3614075011322696,3.189112666757261e-06,0.5024706207132845,0.3786228329403995,-0.0009110679609011,-0.0010279702277695,8134.0,1.0,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3236964407423991,0 days 02:59:44.995636,0.0009110699010725,1.80987415917773,1.3386234574166331
3,3,3,3,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.3374267642712784,0.1317459067335382,0.3375620236462756,0.1022854332002158,0.2924248519529356,1.00010746275354,0.0774081112197815,0.6292730408335737,-0.0007365901462612,-0.0008127156259279,1204.0,0.0,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4356980387582144,0 days 02:59:44.995636,0.0007366154880836,1.2097152398372262,1.1795650677139515
4,4,4,4,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,5.312921192652943e-06,1.910772951384556e-05,1.3981652863400474e-05,0.6025275402926497,0.9345690755662188,6.889879503566586e-05,0.113603042531854,0.5886233834228346,-0.0007690490012695,-0.0009496726333806,8134.0,1.0,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4040655896284361,0 days 02:59:44.995636,0.0007690498705902,1.9715128317319346,1.263252182217334
5,5,5,5,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,7.446194352514842e-06,0.060528502958697,0.0111258534280753,0.497248008417483,0.518069196882997,1.2727961998412308e-05,1.243990777781242e-05,0.3276562322438978,-0.0011225568050659,-0.0013756160723872,8967.0,1.0,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2459827543729994,0 days 02:59:44.995636,0.0011226187382441,2.111072202500633,1.5115902953938845
6,6,6,6,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,1.000782944490104,0.1576756568751127,0.1527927989262172,0.1776703968683833,0.6245744424537811,0.7663338647567298,0.1434784509976001,0.1602912073156586,-0.0007551053481567,-0.0008447313135206,452.0,0.0,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.383333190383081,0 days 02:59:44.995636,0.0007551268898528,1.2721925464908197,1.2835218808075888
7,7,7,7,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,7.426616920742029e-06,7.427697399553299e-06,3.054603333091196e-05,0.5665291175128672,1.7893397545156445e-05,0.8232599923811595,0.1683851675841456,1.4339256342811406e-05,-0.0009644085450865,-0.0011481652697132,9182.0,1.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3199341646700481,0 days 02:59:44.995636,0.0009644408306729,1.3568288828976376,1.2380294324522731
8,8,8,8,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,1.000135052545798,0.0794388057335007,0.3153988961271135,0.3190728533556463,0.1069108704319368,0.5528356004251627,0.664508153163589,0.0997083781720634,-0.000757192302814,-0.0008540669453493,813.0,0.0,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,0.1505248304211774,0.4822123881993365,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4227253926475675,0 days 02:59:44.995636,0.0007572315773784,1.2086462474589448,1.1842518926406662
9,9,9,9,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.7084558482281856,0.1022558537145575,1.6003165666193754e-06,0.4799837231729714,2.8481525124287658e-06,0.2301782487826331,0.0099225527080436,3.708735421887271e-06,-0.0010787207756497,-0.0016497991382696,9246.0,1.0,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1728857103743338,0 days 02:59:44.995636,0.0010787239451331,2.0489708560878093,1.6076570415240432
10,10,10,10,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.5774615152359814,0.2407587968833218,0.4560456118008181,0.2608644730405707,0.6801183042467819,0.2559546667735487,1.0000396330712276,0.3113103692439338,0.8860210829284249,-0.0005307734751289,-0.000555120393244,406.0,0.0,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.5737573848004844,0 days 02:59:44.995636,0.0005307802773481,1.3668445496233501,1.2373928309112352
11,11,11,11,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,1.1370642680053878e-07,2.670925276267136e-07,0.4772489805981132,0.2482123761315402,9.999960788099236e-08,0.3721980469376918,0.070582494725808,4.319799581355344e-07,-0.0011890869628953,-0.0013417226292195,36051.0,0.0,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2197336476980621,0 days 02:59:44.995636,0.0011890887558682,2.2542015368508435,1.5853694107849794
12,12,12,12,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,0.2191196687578146,1.0000712787724604,0.0559590740429664,0.2978895235605325,0.040980984225757,0.0711300798047232,0.3116042469981959,0.2647558378038996,0.0688353935351942,-0.0011860260132879,-0.0013175077969264,922.0,0.0,0.1059212367073244,0.6331599460365578,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2179283990067218,0 days 02:59:44.995636,0.0011860349061823,1.7796533560231644,1.4791588120003478
