,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,22,5.367102000338878e-05,0.0001137638933344,4.433040763115921e-06,0.0001425321700531,0.0012859813272997,0.0008980781965908,0.0055082429422896,0.0002257343241638,5.802934026581373e-06,0.0007506457875435,0.0945869326667689,0.0771335992885004,0.0692996067473793,0.0892540749539947,0.0714866643915509,0.0917857882332386,0.0698413037309149,0.1007566220133776,0.0587106459884035,0.0471436523077637,-4.894577931203574e-05,-0.002092530546811,8118.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844892489942,1.241139177226905,1.2418975197240485,-0.0020841545216718
1,1,1,32,2.718184970170236e-05,0.005400399009193,8.184590776426651e-06,0.0022430296716818,1.0945172096269265e-06,6.470970291231414e-05,0.0036775662864355,0.0057896990044908,0.0004435412120853,4.1321477644713576e-05,0.0946419425576706,0.0771775927872594,0.0693004718486541,0.0892537980058658,0.0714868700152396,0.0917858174335564,0.0698414182352885,0.1007568158759299,0.0587107019064101,0.0471437899942465,-0.0001621719641712,-0.0020925305468083,8175.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844904657548,1.241113500719731,1.241897520816048,-0.0020841545216719
2,2,2,19,2.2219066328066733e-06,0.000527069875795,0.0068246497791027,8.299581667894717e-06,0.00057401971082,0.0030111051431013,0.000232806297855,0.0010945697272005,2.2810076429930862e-05,0.0051924651895263,0.0946076770042197,0.0771766485469155,0.0693008931654051,0.0892545410185243,0.0714867314107156,0.091785194790122,0.0698407354347426,0.1007563756754489,0.0587100618406359,0.0471433719509043,-0.0001760368280147,-0.0020925305467976,7817.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844870952484,1.2411174582665154,1.2418975177911342,-0.0020841545216717
3,3,3,93,0.0001313132518867,0.0001957441656924,0.0073101458885957,0.0008947378329242,0.0019761777161399,7.399383260431894e-05,3.521697306529219e-05,2.331202767702446e-05,0.0003173276614244,5.630896709866191e-05,0.0945163474231078,0.0770677893699694,0.0692048495498506,0.0891247762621792,0.0713870435021979,0.0916520133478409,0.0697435137911642,0.1006087045326859,0.058659568048612,0.0470742901766597,-0.0001229302854948,-0.0020925305467972,8055.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844895334799,1.241026771303711,1.2418975199793636,-0.0020841545216718
4,4,4,33,4.802837735706892e-06,0.000319801171751,0.0027994934348228,1.0743075444920654e-06,0.0041102733333865,0.0001014159144116,1.4598644167630353e-05,1.7400202528806588e-05,0.0018537262254967,0.0001898649341774,0.0946422131514048,0.0771775950710782,0.0693008003630265,0.0892538553517885,0.0714871635988515,0.0917858808314074,0.0698416680361064,0.1007569780375204,0.0587109783475911,0.0471438542918895,-0.00013271317236,-0.0020925305467946,10076.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844864138968,1.2411136628382744,1.2418975171796487,-0.0020841545216716
5,5,5,23,0.0032628338497814,0.0005692008413654,0.0015210343412912,1.6214875663332556e-05,1.8650815190105576e-05,6.015423160950432e-06,1.660213900220996e-05,0.0037091410389271,0.0097340804899914,9.341015337633212e-05,0.0945159082225773,0.0770688794871803,0.0692038958353896,0.0891247271313219,0.0714013084567067,0.0916530004489116,0.0697423907650899,0.1006122581632644,0.0586279506225081,0.0470779298730695,-5.681702994001009e-05,-0.0020925305467879,8918.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844899071003,1.2410199094841274,1.241897520314672,-0.0020841545216718
6,6,6,57,2.191267640146501e-06,0.0010335425725929,8.796472947400518e-05,0.0005979211165192,0.0080586004117992,0.0001089448353199,2.597539633749918e-05,0.0038382441485588,7.323177264669348e-06,0.0004981433079651,0.0945540199412128,0.0771070914411548,0.0692017378111835,0.0891262554447286,0.0713847160287591,0.0916543217890313,0.0697417031115581,0.1006125255549868,0.0586273765544862,0.0470783095555206,-0.0001816925254291,-0.002092530546786,7782.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844879897117,1.240998424015278,1.2418975185938848,-0.0020841545216717
7,7,7,45,8.514746913996256e-06,0.0041253408042213,0.0003325126769769,0.0022369619861065,4.2734960454214256e-05,9.8925674413894e-05,0.0038004609758163,0.0077239701056566,0.0036768125732251,0.0001342147773762,0.0945132224151835,0.0771045623020173,0.0692000469929818,0.0891743746528896,0.0713835717599937,0.0916545810384974,0.0697510785994449,0.1006128565391948,0.0586276188589752,0.0470786121485419,-0.0001749919544703,-0.0020925305467802,7112.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844874564823,1.2410235509061036,1.2418975181153318,-0.0020841545216717
8,8,8,42,0.0002648833882274,0.0042379606851481,0.0088971229981145,6.6641200686687e-05,0.0022990176624884,0.000201424369042,0.0002640503931229,0.0016704607822827,0.0024245491857334,0.0004423806411492,0.0946405843752846,0.0771739787055826,0.0693006973342872,0.0892498694794844,0.0714579739135921,0.0917836855674177,0.0698424955140088,0.1007554728969259,0.0587111606832921,0.0471418139070284,-0.0001647121605426,-0.0020925305467562,7363.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844861075488,1.241111050951319,1.2418975169047115,-0.0020841545216716
9,9,9,97,1.856203471658812e-06,3.480700203006419e-05,0.0014637753109657,0.0014825413528784,1.0077988991055289e-05,3.4263783994265646e-05,0.0007722582353296,1.5091473944020013e-05,0.0012509327572855,9.881531526257438e-06,0.0946465343652908,0.0771714419180768,0.0693067108000122,0.0892471564950251,0.0714930834292469,0.0917801208865463,0.0698466012146185,0.1007522731958858,0.0587167327910379,0.0471232075116553,-7.017719350113447e-05,-0.0020925305467547,8690.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844889280334,1.241110541383083,1.241897519435996,-0.0020841545216718
