,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
24,9.326033468832218e-06,0.07738449054135972,-3.0061456642243777e-06,-0.0020841545216719166,4954.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
32,1.9630406500402726e-05,0.0773844904657548,-5.294135544280891e-06,-0.0020841545216719135,4625.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
52,0.0001261856883066021,0.07738449045593662,-2.314385898389455e-05,-0.002084154521671912,3803.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
63,0.0003511191734215135,0.07738449043087706,-5.3283641014624225e-05,-0.0020841545216719096,3351.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
75,0.0010722672220103253,0.07738449037315581,-0.00013318992307904636,-0.002084154521671908,2858.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
41,4.534878508128582e-05,0.07738449021167702,-1.0190450044589297e-05,-0.0020841545216718975,4255.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
17,4.862601580065354e-06,0.07738449006531288,-1.862185306647319e-06,-0.002084154521671893,5242.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
62,0.00031992671377973844,0.07738449003154929,-4.937486646834251e-05,-0.002084154521671889,3392.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
51,0.0001149756995397738,0.07738449003906708,-2.146616452390473e-05,-0.0020841545216718884,3844.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
5,1.5922827933410906e-06,0.07738449002206037,-8.598125261250191e-07,-0.002084154521671887,5737.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
