,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,71,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,0.001,3.1622776601683795e-05,1e-06,3.183346364565329e-07,5.837218749317611e-07,0.030519936145945,0.0632166370759073,0.075777323303137,0.088954138039376,0.0997026102773449,0.1103764299166255,0.1268893810876255,0.1416346591074092,0.002873487640188,0.3988802925760241,-0.0001278990374563,-0.001970937014257,11969.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376695108888,2.822606206469699,2.725271051689458,-0.0018679974601831
1,1,1,57,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,1e-06,1e-06,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,0.001,1e-06,1.2224025054745382e-06,5.097477193198266e-07,0.0304796858808329,0.0631291882207459,0.0756719283552884,0.0888293858677504,0.0995607938263357,0.1102182299219205,0.1267156624325587,0.1414563138634036,0.0028328717482909,0.3983273744187133,-0.0001260721608441,-0.0019709370058525,12088.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376695832922,2.82253256551546,2.725271051991519,-0.0018679974601831
2,2,2,17,1e-06,1e-06,0.001,0.001,1e-06,0.001,1e-06,0.001,3.1622776601683795e-05,0.001,0.001,0.001,9.626399341514771e-07,5.038341591042492e-07,0.0305199459362187,0.0632167742320552,0.0757775291534188,0.0889543951348561,0.0997029022915145,0.1103767513726781,0.1268897435596087,0.1416350557628759,0.0028735095299208,0.3988814430449002,-0.000185819588333,-0.001970936982616,9912.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376577611494,2.8226047188485706,2.725271002670574,-0.0018679974601827
3,3,3,1,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,1e-06,1e-06,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,0.001,4.1784671802500733e-07,8.067165757067488e-07,0.0305198306171909,0.0632166910489245,0.0757773875471573,0.0889541197887226,0.0997023283827031,0.1103760339114497,0.126890619589956,0.1416393400929181,0.0028662388347392,0.3988849253380025,-0.0001254053796483,-0.0019709369753646,10882.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376578460221,2.82260540783453,2.725271003024653,-0.0018679974601827
4,4,4,92,1e-06,1e-06,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,1e-06,0.001,1e-06,1.4018887302778923e-06,1.1177097736579886e-06,0.0305192677160832,0.0632165274958394,0.0757772055243879,0.0889531509056908,0.0996989675474212,0.1103715739347132,0.1269004273595924,0.14167936952574,0.0028022015131586,0.3989221665567907,-0.0001616381725194,-0.0019709369156661,11784.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376643395444,2.822599671837978,2.7252710301150644,-0.0018679974601829
5,5,5,10,3.1622776601683795e-05,1e-06,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,2.2987057029114674e-06,2.0787001588913657e-07,0.0304800955177337,0.0631294407765682,0.0756723570938372,0.0888309537363778,0.0995656510992832,0.1102245993162695,0.1267026315282823,0.1414021493640563,0.0029202877774828,0.3982776546674627,-0.0001269692021974,-0.0019709368836955,11839.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376618836599,2.822533926226669,2.7252710198693264,-0.0018679974601828
6,6,6,75,3.1622776601683795e-05,1e-06,0.001,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,2.2592379309629207e-06,1.8998076351392845e-07,0.030480172054973,0.0631292241052095,0.0756721211568077,0.0888312122049227,0.0995675478482283,0.1102272147640904,0.1266950442281857,0.1413730329483503,0.0029658295393673,0.3982491948801395,-0.0001405659325654,-0.0019709368303828,11665.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.120637669899001,2.822535767541085,2.7252710533086275,-0.0018679974601831
7,7,7,74,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,0.001,1e-06,0.001,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,1.3163920042525946e-06,1.2752343406434868e-06,0.0305193854376624,0.0632162250969736,0.0757768866825638,0.0889537820403753,0.0997027129043545,0.1103766968918839,0.12688627156325,0.1416245293539968,0.0028881064114016,0.39886897900668,-0.0001583723341268,-0.0019709368025409,10914.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376588226351,2.822602941939786,2.725271007098996,-0.0018679974601827
8,8,8,48,1e-06,0.001,0.001,0.001,1e-06,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,1e-06,1e-06,1.0073807013728807e-06,1.726400026562967e-06,0.0305192434681285,0.0632166390692597,0.0757773307017478,0.0889536611907452,0.0997007140543058,0.1103738901623334,0.1268952753712806,0.1416584001772334,0.0028357362091986,0.3989026271349631,-0.0001825819139084,-0.001970936801441,13333.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376617994773,2.82260139082406,2.7252710195181256,-0.0018679974601828
9,9,9,14,3.1622776601683795e-05,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.0779008750788114e-06,1.2775756412462629e-06,0.0305188974112164,0.0632164352152775,0.0757771865560787,0.0889530180425725,0.0996984232737602,0.1103708332299072,0.1269021595402341,0.1416863420346918,0.0027910764626349,0.3989287012165228,-0.0001451755206704,-0.0019709367780481,12094.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376691513819,2.8225945090737827,2.725271050189629,-0.0018679974601831
