,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime
78,1e-06,0.001,1e-06,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,0.001,0.05988389871092294,0.06594742996685277,1.1928004106657178e-05,0.0610817560754808,0.01721567769056958,0.05889998023551854,0.023924045399178775,0.057484086697242726,0.021460902972749163,0.0628183150094437,0.013528593167934188,0.002607671693402583,-0.00020017780535033474,-0.0024918895631332984,8017.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
42,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-06,0.001,0.001,0.001,1e-06,0.001,0.05993807516226281,0.06570183517076002,0.0001920875199670431,0.06086616957498233,0.017271750254226184,0.05876387483864701,0.02391905017316922,0.05739827719171881,0.02139940233969256,0.06278940774417803,0.013421647444776294,0.00271246441559219,-0.00017505847036298485,-0.0024918890399749493,13422.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
16,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,1e-06,1e-06,1e-06,0.05984787650894865,0.06594098535853858,8.883339114557649e-06,0.06092078969851662,0.01746162755363496,0.05849202113470509,0.024279008761988092,0.056965370252752424,0.022118666125027584,0.0619551849319072,0.014557615956935476,0.001408078046054126,-0.00023480886644027443,-0.002491889032409071,8054.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
8,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,1e-06,0.001,0.001,0.05984192877110416,0.06593719381142724,1.0575114952122932e-05,0.06095561098016505,0.01739908890424053,0.05857920131807167,0.024172461159526593,0.0570649985648658,0.02202729832896521,0.0620062513185255,0.014581443180788403,0.0013210324473236991,-0.00023714441543922594,-0.0024918888866730707,7407.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
32,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.001,1e-06,0.001,0.060121102512146404,0.06544598089711363,0.0005019084831699726,0.06062818400291214,0.017451352714796455,0.05861080123163988,0.024035366167206508,0.05729555961159993,0.021495358917743772,0.06270340095852597,0.013518132371239446,0.002608402317570582,-0.00012619469244401935,-0.0024918883284768562,12837.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
31,1e-06,1e-06,1e-06,0.001,0.001,1e-06,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.06028913717734972,0.06541809338900728,0.0006411673430259981,0.060626644136968236,0.01751577643819308,0.05868372759015427,0.02406329263794473,0.057406546848171584,0.02146393496567821,0.06288356638696713,0.01341686216358776,0.002751080399925113,-0.00014041090015953469,-0.0024918878014796157,11396.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
36,1e-06,0.001,1e-06,0.001,0.001,0.001,0.001,0.001,1e-06,0.001,1e-06,1e-06,0.05983917506701068,0.0659355578473433,2.1716356132414296e-05,0.060961501167808206,0.01740162012558833,0.058515428055744834,0.024259491385572023,0.05691140104618696,0.022279088518600988,0.061694136549063215,0.01498571785786965,0.0008427260304071327,-0.00028169193326013897,-0.0024918878010702808,6994.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
82,1e-06,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,0.001,0.06052418246797469,0.0648885257084914,0.0011921709634492973,0.06004903261347733,0.017953366812570683,0.058130756280426105,0.024434636168178703,0.05689474177241607,0.021943524384308112,0.06222873662353294,0.014088859056537641,0.001967348586583386,-0.00023392227330205787,-0.0024918865125608445,10827.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
13,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,0.001,0.001,1e-06,0.001,0.001,0.001,0.060605594694510434,0.06497890128893045,0.0011942584606018719,0.06013033812781812,0.01798522401614262,0.0582040190137667,0.024478465847462275,0.05696389194603803,0.02199146335752124,0.06229692297315073,0.014135249063035127,0.001937529108429316,-0.00012155557475067048,-0.002491886499052314,10524.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
52,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.001,0.001,0.06060802190176039,0.06497780163112167,0.0011961698591801393,0.06013158167345391,0.017982611941226797,0.058209543608432855,0.024474026106006352,0.056971199454554367,0.021982521012157342,0.062309405233045824,0.014120526931655573,0.0019549984567507,-0.00013770016696123402,-0.0024918864984780167,10621.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
