,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,56,0.0062313420088717,0.0098997104840578,1.991500687274797e-05,0.0076378162505542,0.0018310329886834,1.689756837102448e-06,5.373275830775994e-06,0.002622512039389,3.406607421459286e-06,0.0005053128450826,0.0001086127204118,5.507618985980198e-05,2.5370695328025104e-05,1.376619701699898e-05,0.0923116344972779,0.1231313423845566,0.0316138216185276,0.1357216360087488,0.0276561943360713,0.1382757369902213,0.0262931435890052,0.1400333589507232,0.0248879064192289,0.14141185629025,0.0243116727001054,0.1432624101584282,0.019662734521999,0.0533870506272356,-3.7596955658539774e-05,-0.0011095932390553,9829.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739904462431,1.0888367513336377,1.0566528827591586,-0.0010994411202325
1,1,1,92,0.0033186726401749,1.3088582036790416e-05,2.746957376123951e-05,2.467375004913183e-06,2.046219954058389e-06,0.0001652303168123,1.1860939958602393e-05,3.5623578325243015e-05,0.0007188866869339,0.0001562850691706,0.0019256006164918,3.323454222637429e-05,2.531513879189132e-06,0.0011689499061689,0.0928217303061023,0.1225566693387868,0.0322868386969976,0.1350603216494555,0.0282672862057715,0.1377658682211717,0.0267031416036662,0.1397411727376206,0.025076031226386,0.1413306009548365,0.0243079903011623,0.1433396860545056,0.0195331082386279,0.0535303644263357,-6.192263577107893e-06,-0.0011095932385529,9300.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739914473011,1.0883858995632674,1.0566528826965689,-0.0010994411202325
2,2,2,64,3.886912998874904e-05,0.0004596275136881,2.8804788785724744e-06,5.126617634907765e-05,0.000462066789691,0.0005243832076433,5.350020766863813e-05,3.171410778068278e-05,1.810277774487859e-06,0.0006503467348653,2.22466864722415e-05,0.0072768581032629,0.0005818441556601,0.0051632849019852,0.0927527280113682,0.1227218689549842,0.0321622741219115,0.1351514274137999,0.0282028865458041,0.1379887861327682,0.026419850616828,0.1402018574061713,0.0244783623271235,0.1420556755028635,0.0234894789103692,0.1442735158471767,0.018491527205523,0.0545952449164863,-1.1250447183184682e-05,-0.0011095931520445,8063.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739931048109,1.088588822439451,1.056652882592935,-0.0010994411202326
3,3,3,31,0.000922214477775,0.0022340864616234,0.0024658791717828,7.148154477795864e-06,3.452716985944532e-05,2.0267813275789995e-06,1.3450341177599473e-05,0.0003111529627046,1.0016457094576398e-06,3.151888992737159e-05,0.0004074050118529,0.0054902823344837,7.583423811971488e-06,6.682459273452453e-05,0.0946866147266622,0.1204476438270852,0.034850964065393,0.1320171571734544,0.0316017727077147,0.1343985445755475,0.0300773704002952,0.1363414632036899,0.0284915863846502,0.1379143311946379,0.0276999069543207,0.1398314546513707,0.0232444543704666,0.0497977221413855,-7.504656812045099e-06,-0.0011095930414736,9161.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739924736178,1.0854270698175716,1.0566528826324006,-0.0010994411202326
4,4,4,54,6.117116897428528e-06,3.936679349830045e-05,4.6105782909227296e-05,0.0022575202785294,1.078708239948518e-05,2.819513572494916e-06,0.0001308307004587,1.3055492583906622e-06,0.0003817593106623,4.774292806694956e-06,0.0094014920386412,0.0047466609609323,2.608562711811327e-06,1.0750204753805718e-05,0.0952002391844073,0.1201457722184643,0.035458885707231,0.1315474252740306,0.0323772060457215,0.1336918651731693,0.0311502568331841,0.1353984755008294,0.0297454710238987,0.1368486955263248,0.0290402591160258,0.1386701610801056,0.0247360983572909,0.0483498578152437,-1.2214387337271629e-05,-0.0011095929512351,9330.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739877485232,1.0846242442525331,1.0566528829278283,-0.0010994411202323
5,5,5,73,0.0079903156951083,0.0006227085805448,0.0011376664271815,1.2011431202692751e-05,0.0002714423212098,1.2077586911672836e-06,0.0030436761594006,0.0030421279846001,0.0020343029173439,3.1370433240069084e-05,1.078922800058198e-06,0.0015226318465081,4.828186246066404e-06,0.0009937762002986,0.0918951768822702,0.1236184561151997,0.0309690575365107,0.1366860434494343,0.0263829152741767,0.1400003852584844,0.0241383732437811,0.1426442373976938,0.0218746965122878,0.1447857797031282,0.0206542021409287,0.147308184872101,0.0151927004620251,0.0579347434932276,-4.169653511670939e-05,-0.0011095928708004,8479.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739886798601,1.0904752825886792,1.0566528828695978,-0.0010994411202324
6,6,6,14,0.0057561484152063,0.0045550604816496,3.2680236845572658e-06,3.3600734222762995e-05,0.004493430410365,0.0001317022630603,2.9133662425685933e-05,1.8052612381210417e-05,0.0054431174786072,0.0038282689843742,0.0081457936568064,0.0005568834160635,2.0586447674585654e-06,8.226973887926638e-06,0.0955783447342113,0.1194371751921125,0.0360858522307944,0.1305792057620297,0.0331732318277198,0.1327737839476581,0.0317537580441501,0.1346463727113212,0.0302216304306676,0.1361910725628939,0.0294219636010239,0.1380620997160378,0.0251161847267583,0.0479296883785969,-8.038509129346757e-05,-0.0011095928380352,7747.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739906600816,1.0840095354231165,1.0566528827457904,-0.0010994411202325
7,7,7,97,7.76189507638294e-06,1.7753744715348075e-06,1.0468067271935854e-05,1.941415141553477e-06,0.0003144271654312,9.993904131454618e-06,0.0058942993176906,0.0028330397738656,0.0002750416583817,6.640985346922702e-05,0.0080161419261544,0.0032904854725112,1.381906117753316e-05,0.0011811001063925,0.091089663803027,0.1246140789152901,0.0297220478662557,0.1382252563888008,0.0246598414865294,0.1417614386614905,0.022369247937305,0.1444305702158682,0.0200781217518097,0.1465797730025847,0.0188736031636473,0.1491597468772326,0.0132246724239469,0.059917431574652,-4.434636348411901e-06,-0.0011095927620307,9870.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739935069473,1.0920661060946169,1.0566528825677934,-0.0010994411202327
8,8,8,61,2.8397870432973155e-05,2.0741904230478952e-05,0.0040071360335542,1.957022735914626e-05,0.000674446151535,0.0063159364835441,0.0003805229964717,0.0004062930899124,9.427373320106414e-06,0.0021703156700182,1.7230852654369886e-06,0.0001705907359088,3.092051139825811e-05,0.0012714281887857,0.0965231350985292,0.1186132032243861,0.0373300652225735,0.1293656008970432,0.0347619322571825,0.1311794376594587,0.0337874761389706,0.1326188992473281,0.032663658407094,0.1338233161201255,0.0321365662639765,0.1354047792569697,0.0282386438398624,0.0448108477476091,-4.499013195171038e-05,-0.001109592492379,8084.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739894490701,1.0824208953565584,1.0566528828215038,-0.0010994411202324
9,9,9,4,7.705640477937474e-06,0.0001422000536716,0.0021034371957567,0.0009566088739969,0.0003761468004048,0.000480646913975,0.0001052941162838,0.002855302600105,5.9825055192603255e-06,4.053227858115913e-05,0.0032560839331864,5.411951373077996e-05,2.614704719139726e-06,8.150151611494738e-06,0.0969717886506816,0.1179874381834949,0.0379026628109772,0.1288116437811428,0.0350267254511495,0.1309750654925005,0.0337242691468314,0.1326809384064123,0.0323847977245805,0.1340541234898269,0.0317264951172144,0.1357745916305821,0.0276670578133686,0.0453683530201725,-3.949847934492526e-05,-0.0011095924777893,7433.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739907067351,1.0822886675649483,1.056652882742872,-0.0010994411202325
