,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,43,2.215831304069432e-06,5.98279887059649e-06,1.486404905408051e-05,5.071535722320059e-05,0.0075237195764401,0.0006287307615979,2.583822089786213e-06,0.001937745019112,0.0810387266904576,0.1358961505041793,0.0159990413000325,0.1537217205390966,0.0086648015334924,0.1598078953802365,5.890370492803065e-06,0.0691926062165955,-1.808801370670528e-05,-0.0031784228496288,10006.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447578224262,1.0853797381659462,1.059554123389448,-0.0031302519043233
1,1,1,63,1.5301373132705026e-06,0.0071871815087793,0.0039908033404226,1.5898037945966708e-05,0.000159191244827,0.0006654166330435,0.0003088457741736,0.0001878885125077,0.0807906122123207,0.136169613821857,0.015682590413961,0.1540026678794149,0.0084511782817373,0.1598959941054759,1.6216355992350533e-05,0.0691614932278414,-0.0002900374743679,-0.003178422633689,15126.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.075644757249716,1.0855788017090808,1.0595541235923391,-0.0031302519043232
2,2,2,99,0.0014915943507691,6.364879019250983e-06,3.619621623429931e-06,0.0068471352024988,6.382999411988953e-05,0.0010437579750474,7.095351335796804e-06,0.0017932996521524,0.0809585811534949,0.1360184211560785,0.0158601251434325,0.1538293402455789,0.0085984351390902,0.1598130923793763,4.719067068941586e-05,0.0691415147083487,-0.0002950214868728,-0.0031784218754882,8247.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447564917977,1.0854573699613417,1.0595541238608397,-0.0031302519043232
3,3,3,55,1.138719516123672e-05,0.0009756588508062,0.0051932542576693,0.0004668935532979,6.489486437457443e-05,0.001045392987961,9.247141963538774e-06,0.0014343761298356,0.0809999577545963,0.1362593298044524,0.0158288548657528,0.1540970354246118,0.0085764406314671,0.160059425815773,4.74404984595203e-05,0.0692369076941133,-0.000263386674317,-0.0031784218733293,9479.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447582869644,1.0854041057037642,1.0595541232248795,-0.0031302519043233
4,4,4,12,1.0042031006917422e-06,1.8443533409541258e-05,2.635685653814229e-05,0.0001349790618238,0.00063632961823,1.8849986692707968e-05,1.158081166852468e-06,0.0016789631427062,0.0809984412443904,0.1362601624226474,0.0158272561788242,0.154097932941905,0.0085753343692375,0.1600589597518061,4.8127944047323295e-05,0.0692357957819406,-1.2773134969175789e-05,-0.003178421856432,10750.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447570785416,1.085405326078004,1.0595541236529806,-0.0031302519043232
5,5,5,96,1.9486197820467824e-05,0.0001713264142009,2.7251627173683868e-05,0.0019811095306289,1.8550688563182764e-06,0.0011990413778472,2.312102616482703e-06,5.760906451675986e-05,0.0808364812258848,0.1362746596172228,0.0157019500249674,0.1540729399730975,0.0085100430815722,0.159939210784824,6.1282073644611e-05,0.0691645165496835,-8.220770051382355e-05,-0.003178421520444,7469.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447575611475,1.0854836261116216,1.0595541234820112,-0.0031302519043233
6,6,6,32,1.072364231585147e-05,4.019613447553117e-06,4.984415431490501e-06,1.7295251953604855e-06,0.00125782853424,0.0015869970134039,8.745258626560923e-06,0.0076346458301047,0.0809112673427305,0.1360361278312703,0.0158394518848278,0.1538369526470858,0.0086027963703945,0.1597917943540484,8.182148221497096e-05,0.0691036599286094,-8.295216756148194e-06,-0.0031784210241569,11485.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447577575432,1.0854563248013152,1.059554123412432,-0.0031302519043233
7,7,7,21,6.347941766865076e-06,0.0001058626430891,0.0001947413536793,4.313222441531918e-05,0.0005596404661882,2.5269450020123933e-05,0.0042970268087201,0.0045369929300793,0.0809114355187451,0.1360370278594034,0.0158393727565095,0.1538374828838502,0.0086036748586919,0.1597906770230981,8.469728624990494e-05,0.0691009169323023,-4.09182127083087e-05,-0.0031784209533053,14178.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447563052371,1.0854556640967463,1.0595541239269315,-0.0031302519043232
8,8,8,11,0.0084375245021605,0.0054626200328539,0.0001837992558339,2.953025224374832e-05,3.0360071119981325e-06,3.918518397358551e-06,0.0069989522905104,0.0062703356748642,0.0809114645628537,0.1360370323164066,0.015839396825432,0.153837484090227,0.0086037009280042,0.1597906812415771,8.471801561898676e-05,0.0691009078095468,-0.0001939926072213,-0.0031784209527928,14104.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447563689701,1.0854556360657464,1.059554123904353,-0.0031302519043232
9,9,9,50,0.0001977810670841,1.7088006790077804e-05,0.0071529662798941,4.348657349899992e-05,0.0018112205967714,6.729471079101832e-06,5.082931130848411e-05,6.705961457976967e-05,0.0809127776759909,0.1360354305533139,0.0158412062476924,0.1538353367876642,0.0086057790090976,0.1597886927191123,8.647498702872869e-05,0.0690991272304872,-0.0003228533512864,-0.0031784209093959,13620.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447567751229,1.0854540878435648,1.0595541237604689,-0.0031302519043232
